name,price,type,color,psu,side_panel,external_volume,internal_35_bays
Deepcool MATREXX 55 V3 ADD-RGB 3F,0.00,ATX Mid Tower,Black,,Tempered Glass,,2
Cooler Master HAF X,0.00,ATX Full Tower,Black,,Acrylic,75,5
Corsair Carbide Series 100R,0.00,ATX Mid Tower,Black,,,,4
Anidees AI CRYSTAL XL PRO LITE,309.89,ATX Full Tower,Black,,Tempered Glass,,0
Corsair iCUE 4000D RGB Airflow QL Edition,149.99,ATX Mid Tower,White,,Tempered Glass,48.6,2
darkFlash L280,143.22,ATX Mid Tower,White,,Tempered Glass,54.6,2
CiT Slammer,0.00,MicroATX Mid Tower,Black,,Tempered Glass,31.7,2
HYTE Y70 Silver Wolf,299.99,ATX Mid Tower,Black / Purple,,Tempered Glass,70.7,2
KOLINK Observatory MX Mesh ARGB,0.00,ATX Mid Tower,Black / White,,Tempered Glass,30.8,2
PC Cooler C3 T500 ARGB,119.99,ATX Mid Tower,White,,Tempered Glass,45.1,2
Thermaltake S300 Tempered Glass Snow Edition,83.99,ATX Mid Tower,White,,Tempered Glass,,2
Antec CX500M ARGB,0.00,MicroATX Mini Tower,White,,Tempered Glass,40.8,2
Cooler Master MasterBox NR400 (w/o ODD),0.00,MicroATX Mid Tower,Black,,Tempered Glass,35.5,3
Fractal Design Define 7 Nano,0.00,Mini ITX Tower,Black,,,29.5,1
darkFlash DLM 22,0.00,MicroATX Mid Tower,Black,,Tempered Glass,,2
MSI MAG VAMPIRIC 010,0.00,ATX Mid Tower,Black,,Tempered Glass,41.9,2
Linkworld 920-01C2121U,49.5,HTPC,Black,150,,5.3,0
Silverstone CS351,189.99,MicroATX Desktop,Black,,,22.8,2
Thermaltake The Tower 200,104.98,Mini ITX Tower,Beige,,Tempered Glass,45.1,2
Corsair 2000D RGB AIRFLOW,0.00,Mini ITX Tower,White,,Mesh,24.8,0
Thermaltake Ceres 300 TG ARGB,119.98,ATX Mid Tower,Green,,Tempered Glass,53.9,1
GameMax HYPE,0.00,ATX Mid Tower,Black,,Tempered Glass,113.8,2
BitFenix Nova Mesh M ARGB,0.00,MicroATX Mini Tower,Black,,Tempered Glass,31.6,2
Fractal Design Define S,0.00,ATX Mid Tower,Black,,,57.7,3
Antec VSK 3000 Elite,113.43,MicroATX Mini Tower,Black,,,27.5,4
be quiet! Pure Base 500,99.9,ATX Mid Tower,White,,,46,2
PC Cooler CPS C3D310 ARGB,0.00,MicroATX Mid Tower,Black,,Tempered Glass,36.6,2
Corsair iCUE 5000T LX RGB,339.99,ATX Mid Tower,White,,Tempered Glass,74.5,2
KOLINK Rocket V2,0.00,Mini ITX Tower,Silver,,Mesh,14.2,0
Thermaltake V250 TG ARGB,134.96,ATX Mid Tower,Black,,Tempered Glass,,2
Antec AX81 ELITE,0.00,ATX Mid Tower,Black,,Tempered Glass,42.9,2
Fractal Design Pop Mini Silent,0.00,MicroATX Mid Tower,Black,,Tempered Glass,36.5,2
HYTE Y70 Touch,0.00,ATX Mid Tower,Black / White,,Tempered Glass,70.7,2
Corsair 480T RGB,0.00,ATX Mid Tower,Black,,Tempered Glass,45.4,0
Tecware Forge M ARGB,0.00,MicroATX Mini Tower,Black,,Tempered Glass,34.4,1
Phanteks Eclipse P360A,0.00,ATX Mid Tower,White,,Tempered Glass,42.3,2
KOLINK Observatory HF Mesh ARGB,0.00,ATX Mid Tower,White,,Tempered Glass,35,4
ADATA XPG INVADER X,169,ATX Mid Tower,Black,,Tempered Glass,52.1,3
Raidmax ATX-818WB,0.00,MicroATX Mid Tower,Black,,Acrylic,,4
Cooler Master HAF 932 Advanced,0.00,ATX Full Tower,Black,,Acrylic,71.7,5
Montech X2 Mesh,0.00,ATX Mid Tower,Black,,Tempered Glass,32.3,2
Xigmatek Cubi ARGB,0.00,ATX Mid Tower,Black,,Tempered Glass,62.8,2
GameMax MeshBox,0.00,ATX Mid Tower,Black,,Mesh,33.5,1
Antec P20C,79.99,ATX Mid Tower,Black,,Tempered Glass,50.6,2
Fractal Design Pop XL Silent,536.73,ATX Full Tower,Black,,Tempered Glass,62.4,3
Antec CX600M Wood ARGB,0.00,MicroATX Mini Tower,Black / Brown,,Tempered Glass,46.8,1
Thermaltake The Tower 300,169.99,MicroATX Mini Tower,Brown / Gold,,Tempered Glass,53,3
SHARKOON Rebel C70G RGB,0.00,ATX Mid Tower,Brown / Black,,Tempered Glass,54.5,3
Cooler Master Elite 130,0.00,Mini ITX Tower,Black,,,19.8,3
Corsair Carbide Series 500R,0.00,ATX Mid Tower,Black,,,54.2,6
HEC 6T10LITE,0.00,MicroATX Mini Tower,Black,,,24,2
Lian Li LANCOOL 206,169.99,ATX Mid Tower,White,,Tempered Glass,49.6,3
Silverstone Lucid 04,0.00,MicroATX Mid Tower,Black,,Tempered Glass,38.2,2
KOLINK OBSERVATORY LITE MESH RGB,0.00,ATX Mid Tower,Black,,Tempered Glass,,2
be quiet! Pure Base 600,0.00,ATX Mid Tower,Black / Orange,,Tempered Glass,50.9,3
Thermaltake The Tower 250,149.99,Mini ITX Tower,Green / Black,,Tempered Glass,42.7,1
KOLINK Observatory Lite,0.00,ATX Mid Tower,Black,,Tempered Glass,33.4,2
Antec CX800 RGB ELITE,0.00,ATX Mid Tower,Black,,Tempered Glass,51.2,2
AQIRYS Sargas,0.00,ATX Mid Tower,Black / Blue,,Tempered Glass,50.1,2
Cooler Master MasterCase Pro 5,0.00,ATX Mid Tower,Black,,Acrylic,,5
NZXT S340 Elite,0.00,ATX Mid Tower,White,,Tempered Glass,41.6,2
Phanteks Eclipse P400A Digital,0.00,ATX Mid Tower,White,,Tempered Glass,45.9,2
Mars Gaming MCZ,0.00,MicroATX Mid Tower,Black,,Tempered Glass,,1
Cooler Master MasterBox TD500 Mesh w/ Controller,0.00,ATX Mid Tower,Black,,Tempered Glass,,2
Cooler Master MasterBox MB511 ARGB,0.00,ATX Mid Tower,Black,,Tempered Glass,,2
SSUPD Meshroom S w/PCIe 4.0 Riser,0.00,ATX Mini Tower,Black,,Mesh,14.9,0
Thermaltake CTE C700 Air,134.98,ATX Mid Tower,Black,,Tempered Glass,93.8,7
Mars Gaming MCV4,0.00,ATX Mid Tower,Pink / Black,,Tempered Glass,50.9,2
Thermaltake CTE C750 Air ARGB,0.00,ATX Full Tower,White,,Tempered Glass,110.7,7
CiT Seven,0.00,MicroATX Mid Tower,Black,,Acrylic,,1
ENDORFY Signum 300 Air,130.61,ATX Mid Tower,Black,,Tempered Glass,39.9,2
Fractal Design Focus G,0.00,ATX Mid Tower,White,,Acrylic,42.2,2
Fractal Design Core 500,0.00,Mini ITX Desktop,Black,,,18.6,3
KOLINK Observatory HF Glass ARGB,0.00,ATX Mid Tower,Black,,Tempered Glass,35,2
Fractal Design Meshify 2 Compact Lite,0.00,ATX Mid Tower,White,,Tempered Glass,42.3,2
Fractal Design Pop Air,154.62,ATX Mid Tower,White,,Tempered Glass,46.2,2
Deepcool CH360 DIGITAL,0.00,MicroATX Mid Tower,White,,Tempered Glass,39.7,2
Chieftec Hunter,111.29,ATX Mid Tower,Black,,Tempered Glass,39.8,2
Deepcool CH780,0.00,ATX Full Tower,Black,,Tempered Glass,72.7,2
Silverstone ML06B,92.54,HTPC,Black,,,7.1,0
Corsair 4000D Airflow Teak,117.5,ATX Mid Tower,Black / Brown,,Tempered Glass,48.6,2
Silverstone ML03B,101.41,HTPC,Black,,,15.5,2
Inter-Tech IM-1 POCKET,0.00,MicroATX Mini Tower,Black,,Mesh,21.9,4
Silverstone ML07B,118.72,HTPC,Black,,,13.9,1
SHARKOON Rebel C20 ITX RGB,0.00,Mini ITX Desktop,Black,,Mesh,29.5,1
MSI MPG GUNGNIR 300P AIRFLOW,361.98,ATX Mid Tower,Black,,Tempered Glass,60.5,2
Phanteks Evolv X,0.00,ATX Mid Tower,Silver,,Tinted Tempered Glass,64.9,4
Phanteks Eclipse P500A,0.00,ATX Mid Tower,Black,,Tempered Glass,,2
Lian Li O11 Dynamic Mini,0.00,ATX Mid Tower,Black,750,Tempered Glass,43,2
BitFenix CETO Premium,0.00,ATX Mid Tower,Black,,Tempered Glass,49,3
CiT SO14B,0.00,MicroATX Desktop,Black,300,,12.3,2
Thermaltake The Tower 250,149.95,Mini ITX Tower,Blue / White,,Tempered Glass,42.7,1
be quiet! Pure Base 500,0.00,ATX Mid Tower,Black,,Tempered Glass,46,2
iBuypower Element 9,114.99,ATX Mid Tower,Black,,Tempered Glass,49.2,2
Antec C7 ARGB,181.99,ATX Mid Tower,White,,Tempered Glass,58.9,2
Corsair 5000D,0.00,ATX Mid Tower,White / Gray,,Tempered Glass,66.2,2
Thermaltake H200 TG RGB,0.00,ATX Mid Tower,Black,,Tempered Glass,39.7,2
Tempest Umbra,0.00,ATX Mid Tower,Black,,Tempered Glass,,2
Thermaltake Level 20 RS ARGB,89.98,ATX Mid Tower,Black,,Tempered Glass,,3
Jonsbo D41 STD,0.00,ATX Mid Tower,Black,,Tempered Glass,35.4,2
Jonsbo TK-2 2.0,162,ATX Mid Tower,White,,Tempered Glass,53.2,1
Fractal Design Meshify 2 Compact Lite RGB,321.05,ATX Mid Tower,Black,,Tinted Tempered Glass,42.3,2
BitFenix Nova Mesh M ARGB,0.00,MicroATX Mini Tower,White,,Tempered Glass,31.6,2
Asus ROG Strix Helios EVA Edition,0.00,ATX Full Tower,Black / Multicolor,,Tinted Tempered Glass,83.5,2
Antec NX292,0.00,ATX Mid Tower,Black,,Tempered Glass,37.6,2
GAMDIAS ARGUS E4 ELITE,61.47,ATX Mid Tower,Black,,Tempered Glass,,2
GAMDIAS TALOS E3 MESH ELITE,0.00,ATX Mid Tower,White,,Tempered Glass,48.6,2
Deepcool MORPHEUS,0.00,ATX Full Tower,Black,,Tempered Glass,72.7,2
Corsair iCUE 465X RGB,0.00,ATX Mid Tower,White / Black,,Tempered Glass,,2
Corsair iCUE 220T RGB,0.00,ATX Mid Tower,Black,,Tempered Glass,37.3,2
Aerocool P300C,0.00,MicroATX Mini Tower,Black,,Tempered Glass,49.8,2
Zalman CHRONIX,0.00,ATX Mid Tower,Black,,Tempered Glass,45.7,2
Rosewill Helium Flow,79.98,ATX Mid Tower,White,,,50.5,3
Vetroo AL800,64.98,ATX Mid Tower,Black,,Tempered Glass,46.4,2
Asus ProArt PA401 Wood Edition,273.96,ATX Mid Tower,Black,,,46.6,2
Thermaltake The Tower 200,0.00,Mini ITX Tower,White,,Tempered Glass,45.1,2
Lian Li LANCOOL 205 Mesh,195,ATX Mid Tower,Black,,Tempered Glass,41.3,2
Gigabyte AORUS C700,0.00,ATX Full Tower,Black,,Tempered Glass,144.2,4
Gigabyte AORUS C300,0.00,ATX Mid Tower,Black,,Tinted Tempered Glass,,2
GAMDIAS AURA GC2 ELITE,0.00,ATX Mid Tower,Black,,Tempered Glass,34.7,2
Corsair 4000D,0.00,ATX Mid Tower,Black,,Tempered Glass,48.6,2
Apex DM-387,87.99,HTPC,Black,275,,12.8,1
MagniumGear NEO QUBE 2,0.00,ATX Mid Tower,Black,,Tempered Glass,55.9,2
be quiet! Pure Base 600,0.00,ATX Mid Tower,Black / Silver,,,50.9,3
Chieftec CI-02B-OP,0.00,MicroATX Desktop,Black,,Mesh,32.8,2
Thermaltake The Tower 500,0.00,ATX Mid Tower,Black,,Tempered Glass,93.9,8
Zalman Z1 Iceberg,0.00,MicroATX Mid Tower,Black,,Tempered Glass,38.5,2
Montech KING 95,0.00,ATX Mid Tower,White,,Tempered Glass,63,5
Corsair Crystal Series 280X,0.00,MicroATX Mid Tower,Black,,Tempered Glass,,2
Lian Li Lancool II Mesh,0.00,ATX Mid Tower,White,,Tempered Glass,54.1,3
Corsair Carbide Series 110R,0.00,ATX Mid Tower,Black,,Tempered Glass,42.1,2
Montech HS01,89.9,ATX Mid Tower,Black,,Tempered Glass,55.3,2
GAMDIAS ATLAS E1,84.84,ATX Mid Tower,White,,Tempered Glass,36.3,1
Fractal Design Meshify 2 RGB,0.00,ATX Mid Tower,White / Black,,Tempered Glass,61.7,6
Fractal Design Torrent Compact,0.00,ATX Mid Tower,Black,,Tinted Tempered Glass,46.7,1
Deepcool CH560 DIGITAL,0.00,ATX Mid Tower,White,,Tempered Glass,49.6,2
Lian Li Lancool II Mesh C Performance,0.00,ATX Mid Tower,Black,,Tempered Glass,54.1,3
Deepcool CH360,0.00,MicroATX Mid Tower,White,,Tempered Glass,39.7,2
Phanteks Eclipse P600S,158.98,ATX Mid Tower,White,,Tempered Glass,,4
Chieftec APEX,178.78,ATX Mid Tower,Black,,Tempered Glass,52.9,2
Corsair SPEC-OMEGA RGB,0.00,ATX Mid Tower,Black,,Tempered Glass,,3
Deepcool CK560,0.00,ATX Mid Tower,Black,,Tempered Glass,,2
Tecware Nexus M,0.00,MicroATX Mid Tower,Black,,Tempered Glass,,2
Deepcool MATREXX 50,0.00,ATX Mid Tower,Black,,Tempered Glass,44.5,2
Silverstone FARA 313 Type-C,78.59,MicroATX Mid Tower,Black,,,26.7,3
Geometric Future Model 5,149.9,ATX Mid Tower,White,,Tempered Glass,51.1,2
KOLINK STRONGHOLD,0.00,ATX Mid Tower,White / Black,,Tempered Glass,,3
Asiahorse Perseus,179.99,ATX Mid Tower,Black,,Tempered Glass,73.9,2
HYTE Persona 3 Reload Y60,229.99,ATX Mid Tower,Black / Blue,,Tempered Glass,60,2
NZXT H7,0.00,ATX Mid Tower,White,,Tempered Glass,55.8,2
Lian Li TU150,0.00,Mini ITX Desktop,Black,,Tempered Glass,23.8,1
Corsair Carbide Series 400C,0.00,ATX Mid Tower,Black,,Acrylic,42.4,2
Silverstone FARA H1M,79.95,MicroATX Mini Tower,Black,,,30.1,2
Geometric Future Model 5 Fanless,109.9,ATX Mid Tower,Black / Gray,,Tempered Glass,51.1,2
Thermaltake Ceres 300 TG ARGB,99.99,ATX Mid Tower,White,,Tempered Glass,53.9,1
Thermaltake AX700,404.98,ATX Full Tower,White,,Mesh,141.4,18
Cougar Archon 2 Mesh RGB,0.00,ATX Mid Tower,Black,,Tempered Glass,37.5,2
GameMax Infinity,0.00,ATX Mid Tower,White,,Tempered Glass,45.7,1
FormD T1 V2.1 CNC Anodized,0.00,Mini ITX Desktop,Silver,,Mesh,,0
Thermaltake The Tower 200 Bumblebee,104.98,Mini ITX Tower,Yellow / Black,,Tempered Glass,45.1,2
Mars Gaming MC-VIEW,0.00,MicroATX Mid Tower,Pink,,Tempered Glass,32.1,1
Antec CX600M Trio ARGB,111.84,MicroATX Mini Tower,Black,,Tempered Glass,46.8,1
Cooler Master MasterCase H500 ARGB,246.75,ATX Mid Tower,Black,,Tempered Glass,,2
Fractal Design Define 7 Mini,0.00,MicroATX Mini Tower,Black,,Tinted Tempered Glass,33.2,2
KOLINK VOID RGB,0.00,ATX Mid Tower,Black,,Tempered Glass,,2
Fractal Design Meshify 2,0.00,ATX Mid Tower,White / Black,,Tempered Glass,61.7,6
Montech AIR 1000 PREMIUM,0.00,ATX Mid Tower,White,,Tempered Glass,45.3,2
Thermaltake Core X9,0.00,ATX Desktop,Black,,Acrylic,,7
Montech Heritage,89.9,MicroATX Mid Tower,White,,Tempered Glass,41.5,1
Antec CX600M Trio ARGB,185.73,MicroATX Mini Tower,White,,Tempered Glass,46.8,1
Mars Gaming MC-S1,0.00,MicroATX Mini Tower,White,,Acrylic,18.6,1
Azza Aero,109.99,ATX Mid Tower,Black,,Mesh,47.3,2
ADATA XPG INVADER,84.93,ATX Mid Tower,Black,,Tempered Glass,,2
Cooler Master HAF 700 EVO,0.00,ATX Full Tower,White,,Tempered Glass,,12
Fractal Design Define 7 Nano,0.00,Mini ITX Tower,Black,,Tinted Tempered Glass,29.5,1
Cooler Master MasterBox 520 Mesh,0.00,ATX Mid Tower,Black / White,,Tempered Glass,52.5,2
NZXT H630,0.00,ATX Full Tower,Black,,,,8
SAMA IM01 Pro,0.00,MicroATX Mini Tower,Black,,Tempered Glass,26.1,4
Thermaltake The Tower 600,185.99,ATX Mid Tower,Red,,Tempered Glass,66.2,1
MagniumGear Neo-G Mini V2,0.00,Mini ITX Tower,Black,,Tempered Glass,,1
Antec P20CE,172.61,ATX Mid Tower,Black,,,50.6,2
Thermaltake View 200 TG ARGB,84.98,ATX Mid Tower,White,,Tempered Glass,38.2,2
Silverstone Lucid 04,0.00,MicroATX Mid Tower,White,,Tempered Glass,38.2,2
Fractal Design Meshify 2,0.00,ATX Mid Tower,Gray,,Tinted Tempered Glass,61.7,6
PC Cooler C3 T500 ARGB,168.56,ATX Mid Tower,Black,,Tempered Glass,45.1,2
Phanteks Enthoo Pro,0.00,ATX Full Tower,White,,Acrylic,68.6,6
Corsair Crystal 570X RGB,0.00,ATX Mid Tower,White,,Acrylic,57.5,2
be quiet! Dark Base Pro 900 Rev. 2,0.00,ATX Full Tower,Black / Orange,,Tempered Glass,,7
Deepcool CC560,0.00,ATX Mid Tower,White,,Tempered Glass,41.7,2
Aerocool Hexform RGB,0.00,MicroATX Mid Tower,Black,,Tempered Glass,28,2
Silverstone FARA 513 Type-C,98.31,ATX Mid Tower,Black,,,44.6,2
Cougar Archon 2 Mesh RGB,0.00,ATX Mid Tower,White,,Tempered Glass,37.5,2
MagniumGear Neo Micro V2,0.00,MicroATX Mid Tower,Black,,Tempered Glass,,2
CiT MTX-007B,0.00,Mini ITX Desktop,Black,180,,5.1,0
Lian Li TU150,0.00,Mini ITX Desktop,Black,,,23.8,1
MUSETEX G06MN6-B,0.00,ATX Mid Tower,Black,,Tempered Glass,39.7,2
Asus ROG Z11,0.00,Mini ITX Tower,Black,,Tinted Tempered Glass,,1
Phanteks Eclipse P400S,0.00,ATX Mid Tower,Black / White,,Tinted Tempered Glass,45.9,2
Corsair Carbide Series SPEC-06,0.00,ATX Mid Tower,Black,,Tempered Glass,,2
Aerocool Aero One Eclipse,0.00,ATX Mid Tower,Black,,Tempered Glass,,2
Silverstone SG13 V2,75.3,Mini ITX Tower,Pink,,,11.5,1
CiT Mirage F6,0.00,ATX Mid Tower,Black,,Tempered Glass,29.9,2
DIYPC F2,0.00,MicroATX Mini Tower,Black / Orange,,Acrylic,,2
NZXT H710,0.00,ATX Mid Tower,Black,,Tempered Glass,58.6,4
Antec Performance 1 M,214.99,Mini ITX Desktop,Green / Black,,Mesh,19.3,0
Thermaltake CTE T500 Air,134.98,ATX Full Tower,White,,Tempered Glass,87.3,4
Corsair 5000D CORE AIRFLOW,0.00,ATX Mid Tower,White,,Tempered Glass,66.2,2
Antec AX90,0.00,ATX Mid Tower,Black,,Tempered Glass,48.3,2
Corsair Graphite Series 780T,0.00,ATX Full Tower,Black,,Acrylic,109.9,6
SHARKOON T9 Value,0.00,MicroATX Mid Tower,Black / Red,,Acrylic,,0
MUSETEX Phantom,0.00,ATX Mid Tower,Black,,Tempered Glass,,3
SilentiumPC Signum SG1 TG,0.00,ATX Mid Tower,Black,,Tempered Glass,,2
Silverstone SUGO 17,212.48,MicroATX Desktop,Black,,Mesh,26.1,1
CiT DS360,0.00,ATX Mid Tower,White,,Tempered Glass,52.1,0
Thermaltake View 51 Snow ARGB Edition,214.6,ATX Full Tower,White,,Tempered Glass,91,2
In Win BL040.300TB3LF,102.58,HTPC,Black,300,,11.6,2
Thermaltake The Tower 100,128.99,Mini ITX Tower,Turquoise / Black,,Tempered Glass,32.7,2
iBuypower Snowblind S,199.99,ATX Mid Tower,White,,Tempered Glass,43,2
Fractal Design Define R6 USB-C,0.00,ATX Mid Tower,Black / White,,Tempered Glass,56.7,6
G.Skill LT1,69.98,MicroATX Mini Tower,Black,,Tempered Glass,35,1
Fractal Design Arc Mini,0.00,MicroATX Mini Tower,Black,,,40.9,6
Silverstone RVZ03,141.04,Mini ITX Desktop,Black,,,,0
Fractal Design Meshify 2 Lite,0.00,ATX Mid Tower,Black,,Tempered Glass,61.7,2
Corsair 5000T,244.99,ATX Mid Tower,Black,,Tempered Glass,74.5,2
Fractal Design Meshify 2 Compact White TG Clear Tint,0.00,ATX Mid Tower,White / Black,,Tempered Glass,42.3,2
Cooler Master MasterBox MB400L,0.00,MicroATX Mini Tower,Black,,Tempered Glass,36.7,2
Empire Gaming Diamond,0.00,ATX Mid Tower,Black,,Tempered Glass,48.5,2
SHARKOON MK6 RGB,0.00,MicroATX Mid Tower,Black,,Tempered Glass,43.6,2
Thermaltake The Tower 300,169.99,MicroATX Mini Tower,Turquoise / Black,,Tempered Glass,53,3
DAN Cases C4-SFXv1,0.00,Mini ITX Desktop,Silver,,Mesh,15.9,0
Deepcool CG560,0.00,ATX Mid Tower,Black,,Tempered Glass,48.9,2
Cougar Airface Pro RGB,0.00,ATX Mid Tower,Black,,Tempered Glass,55.4,2
Lian Li LANCOOL II-W,0.00,ATX Mid Tower,White / Black,,Tempered Glass,,3
Cooler Master Elite 110,0.00,Mini ITX Tower,Black,,,15.3,3
Phanteks Eclipse P400S,0.00,ATX Mid Tower,White,,Tinted Tempered Glass,45.9,2
Rosewill SPECTRA D100,0.00,ATX Mid Tower,Black,,Tempered Glass,,2
MSI MAG FORGE 112R,0.00,ATX Mid Tower,Black,750,Tempered Glass,42.5,2
MagniumGear NEO QUBE 2 Infinity Mirror,106.98,ATX Mid Tower,White,,Tempered Glass,55.9,2
Phanteks Eclipse P200A Performance,0.00,Mini ITX Tower,Black,,,29.9,0
TRYX LUCA L70,249.99,ATX Mid Tower,Black,,Tempered Glass,80.9,0
Antec NX260,0.00,ATX Mid Tower,Black,,Tempered Glass,,2
Geometric Future Model 5,134.9,ATX Mid Tower,Black / Yellow,,Tempered Glass,51.1,2
Asus A21 PLUS,0.00,MicroATX Mini Tower,White,,Tempered Glass,44,2
ENDORFY Regnum 400 Air,151.28,ATX Mid Tower,Black,,Tempered Glass,45.9,2
Jonsbo MOD-3,325.31,ATX Mid Tower,Black,,Tempered Glass,93.1,1
KOLINK VOID X ARGB,0.00,ATX Mid Tower,Black,,Tempered Glass,,2
GAMDIAS APOLLO E2 ELITE,0.00,ATX Mid Tower,Black,,Tempered Glass,,2
Fractal Design Meshify 2,0.00,ATX Mid Tower,Black,,Tinted Tempered Glass,61.7,6
Cooler Master MasterBox Lite 3.1,0.00,MicroATX Mid Tower,Black / Red,,Tempered Glass,36.1,2
Apex MW-100,0.00,Mini ITX Tower,Black / White,60,,2.9,0
NZXT H500i,0.00,ATX Mid Tower,White,,Tempered Glass,41.3,3
In Win BK623.BH300TB3,108.05,MicroATX Mini Tower,Black / Silver,300,,12.3,1
BGears b-Optillusion,59.99,ATX Mid Tower,Black,,Tempered Glass,38.7,1
Thermaltake Ceres 350 MX,129.71,ATX Mid Tower,Pink,,Tempered Glass,52.5,1
Thermaltake CTE T500,110.49,ATX Full Tower,White,,Tempered Glass,87.3,4
Silverstone FARA 514X,108.69,ATX Mid Tower,Black,,Tempered Glass,49.7,2
Thermaltake The Tower 250,154.98,Mini ITX Tower,Blue / Pink,,Tempered Glass,42.7,1
Antec NX500M ARGB,0.00,MicroATX Mini Tower,Black,,Tempered Glass,34.6,2
Corsair Obsidian Series 250D,0.00,Mini ITX Tower,Black,,Acrylic,28.1,2
Thermaltake Ceres 330 ARGB,64.99,ATX Mid Tower,White,,Tempered Glass,53.9,1
Silverstone Sugo SG11,131.62,MicroATX Mini Tower,Black,,,,3
Silverstone Milo 12,198.47,HTPC,Black,,Mesh,15.6,0
PrimoChill Praxis WetBench,234.99,ATX Test Bench,Black,,,,4
Thermaltake View 71 ARGB,0.00,ATX Full Tower,Black,,Tempered Glass,,4
Fractal Design Define Nano S,0.00,Mini ITX Desktop,Black,,,28.8,2
Fractal Design Define R4,0.00,ATX Mid Tower,Black,,,56,8
GAMDIAS ATLAS E1,84.84,ATX Mid Tower,Black,,Tempered Glass,36.3,1
Thermaltake CTE C700 TG ARGB,154.93,ATX Mid Tower,Black,,Tempered Glass,93.8,7
Cooler Master MasterBox MB600L V2,186,ATX Mid Tower,Black,,,37.7,2
Zalman S5,0.00,ATX Mid Tower,Black,,Tempered Glass,,2
Corsair Crystal 280X RGB,239.99,MicroATX Mid Tower,Black,,Tempered Glass,,2
Thermaltake The Tower 100 Snow,0.00,Mini ITX Tower,White,,Tempered Glass,32.7,2
Fractal Design Define R5,0.00,ATX Mid Tower,Black,,Acrylic,54.2,8
HYTE Y70 Touch,0.00,ATX Mid Tower,Black / Red,,Tempered Glass,70.7,2
Rosewill THOR V2,0.00,ATX Full Tower,Black,,,74.8,6
Corsair Carbide Series 100R,0.00,ATX Mid Tower,Black,,Acrylic,,4
Phanteks Enthoo EVOLV ATX,0.00,ATX Mid Tower,Black,,Acrylic,,5
Corsair Obsidian Series 750D,0.00,ATX Full Tower,Black,,Acrylic,71.3,6
DIYPC ARGB Q10,0.00,ATX Mid Tower,White,,Tempered Glass,50.4,1
FSP Group CUT593P,109.99,ATX Full Tower,White,,Tempered Glass,62.6,3
Asiahorse Perseus,179.99,ATX Mid Tower,White,,Tempered Glass,73.9,2
Zalman T7,0.00,ATX Mid Tower,Black,,Tinted Acrylic,34,2
Thermaltake The Tower 300,153.99,MicroATX Mini Tower,Green / Pink,,Tempered Glass,53,3
In Win 101,119.2,ATX Mid Tower,Black,,Tempered Glass,48.3,2
ADATA XPG INVADER X,169,ATX Mid Tower,White,,Tempered Glass,52.1,3
Antec VSK2000-U3,0.00,HTPC,Black,,,,1
Corsair 4000D,0.00,ATX Mid Tower,White,,Tempered Glass,48.6,2
Apevia Prodigy,74.98,MicroATX Mini Tower,Black,,Tempered Glass,32.5,2
Phanteks Eclipse G300A (1 Fan),0.00,ATX Mid Tower,Black,,Tempered Glass,37.2,1
Cougar Uniface RGB,0.00,ATX Mid Tower,Black,,Tempered Glass,53.9,2
Cooler Master CMP 520,0.00,ATX Mid Tower,Black,,Tempered Glass,41.5,2
SAMA NEVIEW 4503,0.00,ATX Mid Tower,White,,Tempered Glass,54.7,0
GAMDIAS NESO P1 PRO,0.00,ATX Full Tower,Black,,Tempered Glass,75.2,2
CiT Alpha,0.00,MicroATX Mid Tower,Black,,Tempered Glass,27.1,2
Thermaltake The Tower 600,189.99,ATX Mid Tower,Green / White,,Tempered Glass,66.2,1
MSI MPG GUNGNIR 100,0.00,ATX Mid Tower,Black,,Tempered Glass,60.8,2
NOX Hummer ASTRA,0.00,ATX Mid Tower,White,,Tempered Glass,54.7,2
Rosewill PRISM S500,0.00,ATX Mid Tower,Black,,Tempered Glass,,3
Azza Spectra,64.98,ATX Mid Tower,White,,Tempered Glass,33.4,2
Fractal Design Meshify 3 XL RGB,209.99,ATX Full Tower,White,,Tempered Glass,72.6,2
Silverstone FARA R1 PRO V2,0.00,ATX Mid Tower,Black,,Tempered Glass,40.1,2
Thermaltake Versa H17,0.00,MicroATX Mini Tower,Black,,Acrylic,30.4,2
NZXT S340 Elite,0.00,ATX Mid Tower,Black / Red,,Tempered Glass,41.6,2
NZXT H510i,0.00,ATX Mid Tower,Black / Red,,Tempered Glass,41.3,2
In Win BQS656.DD120BL,0.00,Mini ITX Desktop,Black,120,,3.3,0
NZXT H210,0.00,Mini ITX Tower,White,,Tempered Glass,27.3,1
aigo AZ300,0.00,ATX Mid Tower,Black,,Tempered Glass,49.6,2
Zalman P10,0.00,MicroATX Mini Tower,Black,,Tempered Glass,,2
Raidmax X921 MESHIAN,69.98,ATX Mid Tower,Black,,Tempered Glass,36.8,2
Thermaltake CTE E600,154.98,ATX Mid Tower,Black,,Tempered Glass,77.4,2
SHARKOON VK2,0.00,ATX Mid Tower,Black,,,40.5,2
DIYPC DIY-S08,0.00,ATX Mid Tower,Gray / Black,,Tempered Glass,33.2,2
Cooler Master MasterBox NR200P,0.00,Mini ITX Desktop,Pink,,Tempered Glass,20.3,2
Thermaltake AH T600 Snow,0.00,ATX Full Tower,White / Black,,Tempered Glass,161.6,2
